"word", "total_decision_tree_size", "average_guess_number", "maximum_guesses"
trace, 7927, 3.42419, 5
crate, 7927, 3.42419, 5
salet, 7920, 3.4211664, 5
slate, 7928, 3.424622, 6
reast, 7925, 3.423326, 5
parse, 7997, 3.4544277, 6
carte, 7950, 3.4341252, 6
caret, 7965, 3.4406047, 5
peart, 7981, 3.4475162, 6
carle, 7937, 3.4285097, 6
crane, 7934, 3.427214, 6
stale, 7968, 3.4419007, 6
earst, 7975, 3.4449244, 6
heart, 8033, 3.4699783, 6
reist, 7987, 3.450108, 6
least, 7955, 3.436285, 6
react, 7982, 3.4479482, 5
cater, 8010, 3.4600432, 5
carse, 7970, 3.4427645, 6
tried, 8003, 3.4570193, 5
